time,voltage,current,power
13.760,0.300,0.0000,0.000
14.024,0.300,0.0000,0.000
14.287,0.300,0.0000,0.000
14.568,0.300,0.0000,0.000
14.838,0.300,0.0000,0.000
15.108,0.300,0.0000,0.000
15.382,0.300,0.0000,0.000
15.652,0.300,0.0000,0.000
15.922,0.300,0.0000,0.000
16.202,0.300,0.0000,0.000
16.482,0.300,0.0000,0.000
16.742,0.300,0.0000,0.000
17.012,0.300,0.0000,0.000
17.282,0.300,0.0000,0.000
17.595,0.300,0.0000,0.000
17.865,0.300,0.0000,0.000
18.141,0.300,0.0000,0.000
18.421,0.300,0.0000,0.000
18.689,0.300,0.0000,0.000
18.956,0.300,0.0000,0.000
19.223,0.300,0.0000,0.000
19.490,0.300,0.0000,0.000
19.767,0.300,0.0000,0.000
20.033,0.300,0.0000,0.000
20.395,0.300,0.0000,0.000
20.666,0.300,0.0000,0.000
21.058,0.300,0.0370,0.011
21.338,0.300,0.0370,0.011
21.817,0.300,0.0370,0.011
22.099,0.300,0.0770,0.023
22.586,0.300,0.0770,0.023
22.866,0.300,0.1160,0.034
23.369,0.290,0.1530,0.044
23.641,0.300,0.1570,0.047
23.922,0.290,0.1570,0.045
24.284,0.290,0.1610,0.046
24.556,0.290,0.1970,0.057
24.820,0.290,0.1970,0.057
25.084,0.290,0.1970,0.057
25.346,0.290,0.1970,0.057
25.613,0.290,0.1970,0.057
25.905,0.290,0.1970,0.057
26.173,0.290,0.1970,0.057
26.440,0.290,0.1970,0.057
26.721,0.290,0.1970,0.057
26.988,0.300,0.1970,0.059
27.250,0.290,0.1970,0.057
27.516,0.290,0.1970,0.057
27.783,0.300,0.1970,0.059
28.069,0.290,0.1970,0.057
28.332,0.300,0.1970,0.059
28.602,0.300,0.0000,0.000
29.088,0.300,0.0000,0.000
29.361,0.300,0.0970,0.029
29.864,0.290,0.1970,0.057
30.134,0.290,0.1970,0.057
30.613,0.290,0.2600,0.075
30.883,0.290,0.2970,0.086
31.379,0.290,0.2970,0.086
31.671,0.290,0.3960,0.114
32.148,0.290,0.4960,0.143
32.419,0.290,0.4960,0.143
32.688,0.290,0.4960,0.143
32.978,0.290,0.4960,0.143
33.239,0.290,0.4960,0.143
33.518,0.290,0.4960,0.143
33.802,0.290,0.4960,0.143
34.062,0.290,0.4960,0.143
34.333,0.290,0.4960,0.143
34.601,0.290,0.4960,0.143
34.867,0.290,0.4960,0.143
35.134,0.290,0.4960,0.143
35.414,0.290,0.4960,0.143
35.694,0.290,0.4960,0.143
35.964,0.290,0.4960,0.143
36.234,0.290,0.4960,0.143
36.502,0.290,0.4960,0.143
36.770,0.290,0.4960,0.143
37.036,0.290,0.4960,0.143
37.326,0.290,0.4960,0.143
37.596,0.290,0.4960,0.143
37.866,0.290,0.4960,0.143
38.163,0.290,0.4960,0.143
38.427,0.290,0.4960,0.143
38.704,0.290,0.4960,0.143
39.174,0.290,0.4960,0.143
39.435,0.290,0.4960,0.143
39.714,0.290,0.4960,0.143
39.978,0.290,0.4960,0.143
40.249,0.290,0.4960,0.143
40.519,0.290,0.4960,0.143
40.789,0.290,0.4960,0.143
41.059,0.290,0.4960,0.143
41.330,0.290,0.4960,0.143
41.584,0.290,0.4960,0.143
41.961,0.290,0.4960,0.143
42.240,0.280,1.1980,0.335
42.506,0.280,1.1980,0.335
42.772,0.280,1.1980,0.335
43.034,0.280,1.1980,0.335
43.305,0.280,1.1980,0.335
43.582,0.280,1.1980,0.335
43.862,0.280,1.1980,0.335
44.162,0.280,1.1980,0.335
44.427,0.280,1.1980,0.335
44.718,0.280,1.1980,0.335
44.987,0.280,1.1980,0.335
45.454,0.290,1.1980,0.347
45.750,0.290,0.4960,0.143
46.020,0.290,0.4960,0.143
46.298,0.290,0.4960,0.143
46.575,0.290,0.4960,0.143
46.845,0.290,0.4960,0.143
47.105,0.290,0.4960,0.143
47.375,0.290,0.4960,0.143
47.645,0.290,0.4960,0.143
47.910,0.290,0.4960,0.143
48.182,0.290,0.4960,0.143
48.452,0.290,0.4960,0.143
48.732,0.290,0.4960,0.143
49.002,0.290,0.4960,0.143
49.284,0.290,0.4960,0.143
time,voltage,current,power
0.061,0.290,0.4960,0.143
0.336,0.290,0.4960,0.143
0.616,0.290,0.4960,0.143
0.899,0.290,0.4960,0.143
1.156,0.290,0.4960,0.143
1.436,0.290,0.4960,0.143
1.706,0.290,0.4960,0.143
1.976,0.290,0.4960,0.143
2.252,0.290,0.4960,0.143
2.513,0.290,0.4960,0.143
2.780,0.290,0.4960,0.143
3.064,0.290,0.4960,0.143
3.331,0.290,0.4960,0.143
3.603,0.290,0.4960,0.143
3.880,0.290,0.4960,0.143
4.146,0.290,0.4960,0.143
4.410,0.290,0.4960,0.143
4.672,0.290,0.4960,0.143
4.962,0.290,0.4960,0.143
5.232,0.290,0.4960,0.143
5.502,0.290,0.4960,0.143
5.772,0.290,0.4960,0.143
6.057,0.290,0.4960,0.143
6.327,0.290,0.4960,0.143
6.591,0.290,0.4960,0.143
6.861,0.290,0.4960,0.143
7.134,0.290,0.4960,0.143
7.406,0.290,0.4960,0.143
time,voltage,current,power
0.063,0.290,0.4960,0.143
0.326,0.290,0.4960,0.143
0.587,0.290,0.4960,0.143
0.901,0.290,0.4960,0.143
1.166,0.290,0.4960,0.143
1.436,0.290,0.4960,0.143
1.716,0.290,0.4960,0.143
1.986,0.290,0.4960,0.143
2.257,0.290,0.4960,0.143
2.531,0.290,0.4960,0.143
2.797,0.290,0.4960,0.143
3.067,0.290,0.4960,0.143
3.331,0.290,0.4960,0.143
3.591,0.290,0.4960,0.143
3.871,0.290,0.4960,0.143
4.151,0.290,0.4960,0.143
4.421,0.290,0.4960,0.143
4.691,0.290,0.4960,0.143
4.971,0.290,0.4960,0.143
5.231,0.290,0.4960,0.143
5.504,0.290,0.4960,0.143
5.774,0.290,0.4960,0.143
6.054,0.290,0.4960,0.143
6.329,0.290,0.4960,0.143
6.599,0.290,0.4960,0.143
6.879,0.290,0.4960,0.143
7.139,0.290,0.4960,0.143
7.409,0.290,0.4960,0.143
7.683,0.290,0.4960,0.143
7.953,0.290,0.4960,0.143
8.215,0.290,0.4960,0.143
8.487,0.290,0.4960,0.143
8.757,0.290,0.4960,0.143
9.029,0.290,0.4960,0.143
9.302,0.290,0.4960,0.143
9.579,0.290,0.4960,0.143
9.846,0.290,0.4960,0.143
10.110,0.290,0.4960,0.143
10.487,0.300,0.4470,0.134
10.757,0.300,0.0000,0.000
11.034,0.300,0.0000,0.000
11.308,0.300,0.0000,0.000
11.572,0.300,0.0000,0.000
11.840,0.300,0.0000,0.000
12.227,0.300,0.0960,0.028
12.507,0.300,0.0960,0.028
12.979,0.290,0.1110,0.032
13.254,0.290,0.1970,0.057
13.723,0.290,0.1970,0.057
13.992,0.290,0.2970,0.086
14.618,0.290,0.3960,0.114
14.878,0.290,0.3960,0.114
15.365,0.290,0.4960,0.143
15.635,0.290,0.4960,0.143
15.915,0.290,0.4960,0.143
16.185,0.290,0.4960,0.143
16.455,0.290,0.4960,0.143
16.728,0.290,0.4960,0.143
16.998,0.290,0.4960,0.143
17.273,0.290,0.4960,0.143
17.553,0.290,0.4960,0.143
time,voltage,current,power
0.060,0.290,0.4960,0.143
0.342,0.290,0.4960,0.143
0.610,0.290,0.4960,0.143
0.876,0.290,0.4960,0.143
1.146,0.290,0.4960,0.143
1.412,0.290,0.4960,0.143
1.692,0.290,0.4960,0.143
1.952,0.290,0.4960,0.143
2.229,0.290,0.4960,0.143
2.489,0.290,0.4960,0.143
2.770,0.290,0.4960,0.143
time,voltage,current,power
0.060,0.290,0.4960,0.143
0.333,0.290,0.4960,0.143
0.617,0.290,0.4960,0.143
0.875,0.290,0.4960,0.143
1.155,0.290,0.4960,0.143
1.415,0.290,0.4960,0.143
1.687,0.290,0.4960,0.143
1.959,0.290,0.4960,0.143
2.232,0.290,0.4960,0.143
2.501,0.290,0.4960,0.143
2.764,0.290,0.4960,0.143
3.044,0.290,0.4960,0.143
3.311,0.290,0.4960,0.143
3.573,0.290,0.4960,0.143
3.843,0.290,0.4960,0.143
4.123,0.290,0.4960,0.143
4.393,0.290,0.4960,0.143
4.665,0.290,0.4960,0.143
4.931,0.290,0.4960,0.143
5.296,0.290,0.4960,0.143
5.571,0.290,0.4960,0.143
5.838,0.290,0.4960,0.143
6.104,0.290,0.4960,0.143
6.467,0.300,0.0000,0.000
6.722,0.300,0.0000,0.000
7.012,0.300,0.0000,0.000
7.277,0.300,0.0000,0.000
7.539,0.300,0.0000,0.000
7.809,0.300,0.0000,0.000
8.089,0.300,0.0000,0.000
8.362,0.300,0.0000,0.000
8.643,0.300,0.0000,0.000
9.223,0.300,0.0960,0.028
9.503,0.300,0.0970,0.029
9.969,0.290,0.1720,0.049
10.253,0.290,0.1970,0.057
10.763,0.290,0.2970,0.086
11.033,0.290,0.2970,0.086
11.505,0.290,0.3960,0.114
11.775,0.290,0.3960,0.114
12.258,0.290,0.4610,0.133
12.520,0.290,0.4960,0.143
12.794,0.290,0.4960,0.143
13.074,0.290,0.4960,0.143
13.326,0.290,0.4960,0.143
13.608,0.290,0.4960,0.143
13.888,0.290,0.4960,0.143
14.158,0.290,0.4960,0.143
14.428,0.290,0.4960,0.143
14.698,0.290,0.4960,0.143
14.968,0.290,0.4960,0.143
15.238,0.290,0.4960,0.143
15.510,0.290,0.4960,0.143
15.780,0.290,0.4960,0.143
16.040,0.290,0.4960,0.143
16.320,0.290,0.4960,0.143
16.580,0.290,0.4960,0.143
16.860,0.290,0.4960,0.143
17.120,0.290,0.4960,0.143
17.400,0.290,0.4960,0.143
17.680,0.290,0.4960,0.143
17.980,0.290,0.4960,0.143
18.250,0.290,0.4960,0.143
18.526,0.290,0.4960,0.143
18.806,0.290,0.4960,0.143
19.066,0.290,0.4960,0.143
19.336,0.290,0.4960,0.143
19.616,0.290,0.4960,0.143
19.886,0.290,0.4960,0.143
20.156,0.290,0.4960,0.143
20.426,0.290,0.4960,0.143
20.699,0.290,0.4960,0.143
20.975,0.290,0.4960,0.143
21.255,0.290,0.4960,0.143
21.515,0.290,0.4960,0.143
21.805,0.290,0.4960,0.143
22.077,0.290,0.4960,0.143
22.352,0.290,0.4960,0.143
22.612,0.290,0.4960,0.143
22.884,0.290,0.4960,0.143
23.154,0.290,0.4960,0.143
23.436,0.290,0.4960,0.143
23.698,0.290,0.4960,0.143
23.978,0.290,0.4960,0.143
24.248,0.290,0.4960,0.143
24.518,0.290,0.4960,0.143
24.788,0.290,0.4960,0.143
25.068,0.290,0.4960,0.143
25.338,0.290,0.4960,0.143
25.608,0.290,0.4960,0.143
25.921,0.290,0.4960,0.143
26.197,0.290,0.4960,0.143
26.469,0.290,0.4960,0.143
26.739,0.290,0.4960,0.143
27.009,0.290,0.4960,0.143
27.289,0.290,0.4960,0.143
27.568,0.290,0.4960,0.143
27.829,0.290,0.4960,0.143
28.108,0.290,0.4960,0.143
28.381,0.290,0.4960,0.143
28.663,0.290,0.4960,0.143
28.936,0.290,0.4960,0.143
29.208,0.290,0.4960,0.143
29.478,0.290,0.4960,0.143
29.748,0.290,0.4960,0.143
30.028,0.290,0.4960,0.143
30.298,0.290,0.4960,0.143
30.608,0.290,0.4960,0.143
30.878,0.290,0.4960,0.143
31.151,0.290,0.4960,0.143
31.431,0.290,0.4960,0.143
31.696,0.290,0.4960,0.143
31.968,0.290,0.4960,0.143
32.238,0.290,0.4960,0.143
32.508,0.290,0.4960,0.143
32.788,0.290,0.4960,0.143
33.068,0.290,0.4960,0.143
33.351,0.290,0.4960,0.143
33.623,0.290,0.4960,0.143
33.903,0.290,0.4960,0.143
34.163,0.290,0.4960,0.143
34.433,0.290,0.4960,0.143
34.713,0.290,0.4960,0.143
35.002,0.290,0.4960,0.143
35.303,0.290,0.4960,0.143
35.566,0.290,0.4960,0.143
35.836,0.290,0.4960,0.143
36.116,0.290,0.4960,0.143
36.386,0.290,0.4960,0.143
36.656,0.290,0.4960,0.143
36.926,0.290,0.4960,0.143
37.206,0.290,0.4960,0.143
37.476,0.290,0.4960,0.143
37.756,0.290,0.4960,0.143
38.026,0.290,0.4960,0.143
38.286,0.290,0.4960,0.143
38.549,0.290,0.4960,0.143
38.811,0.290,0.4960,0.143
39.081,0.290,0.4960,0.143
39.371,0.290,0.4960,0.143
39.631,0.290,0.4960,0.143
39.915,0.290,0.4960,0.143
40.190,0.290,0.4960,0.143
40.456,0.290,0.4960,0.143
40.716,0.290,0.4960,0.143
40.986,0.290,0.4960,0.143
41.249,0.290,0.4960,0.143
41.530,0.290,0.4960,0.143
41.800,0.290,0.4960,0.143
42.070,0.290,0.4960,0.143
42.340,0.290,0.4960,0.143
42.620,0.290,0.4960,0.143
42.880,0.290,0.4960,0.143
43.150,0.290,0.4960,0.143
43.423,0.290,0.4960,0.143
43.704,0.290,0.4960,0.143
43.975,0.290,0.4960,0.143
44.244,0.290,0.4960,0.143
44.515,0.290,0.4960,0.143
44.785,0.290,0.4960,0.143
45.055,0.290,0.4960,0.143
45.327,0.290,0.4960,0.143
45.599,0.290,0.4960,0.143
45.879,0.290,0.4960,0.143
46.149,0.290,0.4960,0.143
46.419,0.290,0.4960,0.143
46.701,0.290,0.4960,0.143
46.973,0.290,0.4960,0.143
47.253,0.290,0.4960,0.143
47.573,0.290,0.4960,0.143
47.833,0.290,0.4960,0.143
48.103,0.290,0.4960,0.143
48.376,0.290,0.4960,0.143
48.657,0.290,0.4960,0.143
48.927,0.290,0.4960,0.143
49.197,0.290,0.4960,0.143
49.470,0.290,0.4960,0.143
49.744,0.290,0.4960,0.143
50.024,0.290,0.4960,0.143
50.294,0.290,0.4960,0.143
50.554,0.290,0.4960,0.143
50.824,0.290,0.4960,0.143
51.104,0.290,0.4960,0.143
51.384,0.290,0.4960,0.143
51.654,0.290,0.4960,0.143
51.926,0.290,0.4960,0.143
52.200,0.290,0.4960,0.143
52.482,0.290,0.4960,0.143
52.752,0.290,0.4960,0.143
53.024,0.290,0.4960,0.143
53.296,0.290,0.4960,0.143
53.571,0.290,0.4960,0.143
53.851,0.290,0.4960,0.143
54.121,0.290,0.4960,0.143
54.431,0.290,0.4960,0.143
54.701,0.290,0.4960,0.143
54.977,0.290,0.4960,0.143
55.257,0.290,0.4960,0.143
55.527,0.290,0.4960,0.143
55.797,0.290,0.4960,0.143
56.077,0.290,0.4960,0.143
56.339,0.290,0.4960,0.143
56.621,0.290,0.4960,0.143
